IS_AUDITED,COUNTY_NAME,PRECINCT_NAME,PRECINCT_CODE,USA_MS_20161108_GEN_PRE_REP_TRUMP,USA_MS_20161108_GEN_PRE_DEM_CLINTON,USA_MS_20161108_GEN_PRE_LIB_JOHNSON,USA_MS_20161108_GEN_PRE_GRE_STEIN,USA_MS_20161108_GEN_PRE_CON_CASTLE,USA_MS_20161108_GEN_PRE_PRO_HEDGES,USA_MS_20161108_GEN_PRE_DEL_FUENTE
0,_039,_Benndale Crossing,_28039000504,418,120,3,0,1,3,0
0,_039,_Broome School,_28039000505,161,3,1,1,2,0,1
0,_041,_Leakesville,_28041000101,981,74,4,0,4,1,0
0,_041,_North Leakesville,_28041000201,134,163,1,1,1,0,0
0,_041,_State Line,_28041000202,264,355,2,0,0,0,0
0,_041,_Jones,_28041000302,186,6,3,0,1,1,0
0,_041,_Piave,_28041000303,302,4,4,1,1,0,2
0,_041,_Wade,_28041000304,450,28,0,0,1,0,0
0,_041,_Vernal,_28041000402,430,46,3,1,2,0,0
0,_041,_Maples,_28041000403,543,65,3,0,3,1,1
0,_041,_Mutual Rights,_28041000501,190,8,2,0,0,0,0
0,_041,_Jonathan,_28041000502,324,12,1,1,0,0,0
0,_041,_Leaf,_28041000503,89,50,0,0,2,0,1
0,_041,_McLain,_28041000504,159,156,2,0,1,0,0
0,_041,_Washington Neely,_28041000505,283,7,3,0,5,0,0
0,_043,_Box 1 Southside Church of Christ,_28043000102,1100,506,16,4,3,2,0
0,_043,_Elliott,_28043000103,388,73,2,3,0,2,0
0,_043,_Sweethome Holcomb,_28043000104,226,107,0,0,0,0,0
0,_043,_Box 2 Grenada Co Office,_28043000201,349,212,2,1,0,0,0
0,_043,_Gore Springs,_28043000202,425,68,6,0,1,0,0
