IS_AUDITED,COUNTY_NAME,PRECINCT_NAME,PRECINCT_CODE,USA_LA_20161108_GEN_PRE_REP_TRUMP,USA_LA_20161108_GEN_PRE_DEM_CLINTON,USA_LA_20161108_GEN_PRE_LIB_JOHNSON,USA_LA_20161108_GEN_PRE_GRE_STEIN,USA_LA_20161108_GEN_PRE_COU_MCMULLIN,USA_LA_20161108_GEN_PRE_CON_CASTLE,USA_LA_20161108_GEN_PRE_OTH_OTHER,USA_LA_20161108_GEN_USS_REP_KENNEDY,USA_LA_20161108_GEN_USS_REP_BOUSTANY,USA_LA_20161108_GEN_USS_REP_FLEMING,USA_LA_20161108_GEN_USS_REP_MANESS,USA_LA_20161108_GEN_USS_REP_DUKE,USA_LA_20161108_GEN_USS_REP_CRAWFORD,USA_LA_20161108_GEN_USS_REP_CAO,USA_LA_20161108_GEN_USS_REP_MARSALA,USA_LA_20161108_GEN_USS_REP_PATEL,USA_LA_20161108_GEN_USS_DEM_CAMPBELL,USA_LA_20161108_GEN_USS_DEM_FAYARD,USA_LA_20161108_GEN_USS_DEM_EDWARDS,USA_LA_20161108_GEN_USS_DEM_LANDRIEU,USA_LA_20161108_GEN_USS_DEM_PELLERIN,USA_LA_20161108_GEN_USS_DEM_WILLIAMS,USA_LA_20161108_GEN_USS_DEM_MENDOZA,USA_LA_20161108_GEN_USS_LIB_CLEMENTS,USA_LA_20161108_GEN_USS_LIB_GILLAM,USA_LA_20161108_GEN_USS_OTH_LANG_JR,USA_LA_20161108_GEN_USS_OTH_TAYLOR_JR,USA_LA_20161108_GEN_USS_NPA_BILLIOT,USA_LA_20161108_GEN_USS_NPA_HEBERT,USA_LA_20161108_GEN_USS_NPA_MARONE,USA_LA_20161108_GEN_USS_NPA_WELLS,USA_LA_20161108_GEN_US1_REP_KENNEDY,USA_LA_20161108_GEN_US1_DEM_CAMPBELL
0,_115,_4-3K,_4-3K,124,57,15,3,3,2,2,19,16,42,10,10,24,2,0,0,20,13,3,4,0,0,3,6,0,0,0,4,1,1,0,17,1
0,_115,_4-3L,_4-3L,92,42,7,3,2,0,0,16,16,31,3,5,5,2,1,2,16,4,6,6,0,1,0,7,0,1,0,3,0,3,0,9,0
0,_115,_4-3M,_4-3M,24,13,1,0,5,0,0,3,7,6,4,1,1,1,0,0,3,2,5,0,0,1,1,3,0,0,0,1,0,0,0,2,12
0,_115,_4-3N,_4-3N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,_115,_5-1,_5-1,901,67,14,7,2,0,3,184,99,388,58,55,39,6,0,2,58,16,16,15,0,3,0,4,0,0,2,7,4,1,0,286,28
0,_115,_5-1A,_5-1A,69,5,0,0,0,0,0,13,8,26,7,12,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0,0,27,1
0,_115,_5-2,_5-2,284,13,5,0,0,0,2,48,26,122,14,18,6,4,1,0,22,2,5,4,2,0,0,1,0,1,0,4,1,0,0,76,5
0,_115,_5-2A,_5-2A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,_115,_6-1,_6-1,98,10,0,3,0,2,0,23,5,43,4,10,6,1,0,0,3,0,0,2,5,0,0,0,0,0,0,0,0,0,0,47,1
0,_115,_6-2,_6-2,137,13,0,1,0,2,0,26,12,65,3,16,8,0,0,0,11,0,2,2,0,0,0,0,0,0,0,0,1,0,0,47,8
0,_115,_6-3,_6-3,124,3,0,0,0,0,0,31,8,59,4,10,4,1,0,0,5,4,0,0,0,0,0,0,0,0,0,1,0,1,0,46,5
0,_115,_6-4,_6-4,373,8,5,0,3,2,0,57,29,185,27,37,11,1,0,1,16,2,0,2,0,0,1,4,0,0,0,3,0,0,1,167,3
0,_115,_7-1,_7-1,532,87,7,1,0,0,3,61,159,162,24,32,21,6,6,0,38,31,11,11,3,0,3,0,0,0,0,9,0,1,0,125,28
0,_115,_7-2,_7-2,297,18,4,0,2,0,3,48,70,131,14,13,4,1,1,0,14,2,2,2,0,0,0,0,1,0,0,1,2,1,0,115,12
0,_115,_7-2A,_7-2A,636,103,19,3,2,0,0,92,164,214,47,56,16,4,7,1,33,24,8,34,2,0,0,6,0,3,0,4,1,0,0,175,26
0,_115,_7-3,_7-3,161,2,1,0,0,0,0,45,18,65,6,10,4,1,0,0,9,0,0,2,0,0,0,0,0,0,0,0,0,0,0,57,5
0,_115,_7-4,_7-4,44,3,1,0,0,0,2,4,1,22,3,6,0,1,1,0,3,0,0,0,0,0,0,1,0,0,0,3,0,0,0,14,1
0,_115,_7-4A,_7-4A,160,8,3,1,1,0,0,35,21,68,4,11,4,1,3,0,11,2,2,4,0,0,0,0,0,0,0,2,0,0,0,51,5
0,_115,_7-5,_7-5,519,32,5,1,1,0,2,63,128,228,24,24,15,2,3,0,17,5,5,2,2,0,0,2,0,0,0,6,0,0,0,177,8
0,_115,_7-5A,_7-5A,134,50,3,0,0,2,2,25,27,59,4,6,5,2,0,0,24,9,5,4,0,0,3,2,0,1,0,1,0,1,0,47,21
0,_115,_7-5C,_7-5C,133,8,0,0,0,0,0,19,22,59,7,8,8,2,0,0,5,0,3,4,0,0,0,0,0,0,0,2,0,0,0,46,6
0,_115,_8-1,_8-1,314,20,1,1,1,0,5,47,31,176,21,12,11,2,0,0,14,11,0,5,0,1,0,1,0,1,0,1,0,0,0,115,12
0,_115,_8-2,_8-2,386,32,1,3,0,5,5,57,29,194,39,27,9,7,0,0,27,7,0,5,2,0,0,0,1,0,0,5,4,1,1,135,16
0,_115,_8-3,_8-3,324,12,0,0,1,0,0,63,9,149,25,23,6,1,0,0,25,2,3,4,0,0,0,1,0,0,0,0,1,0,0,165,8
0,_117,_1-1,_1-1,877,80,17,5,0,0,5,485,84,97,88,88,19,3,0,0,35,30,3,7,1,0,0,7,0,0,0,7,7,6,0,382,25
0,_117,_1-2,_1-2,352,47,9,3,4,3,0,183,33,42,25,34,8,5,0,0,29,28,3,4,0,2,0,6,0,0,1,1,0,1,0,112,18
0,_117,_2-1,_2-1,714,235,9,4,2,2,2,323,73,84,36,84,14,8,0,3,78,113,11,17,0,2,3,4,0,0,3,50,0,6,0,282,89
0,_117,_3-1,_3-1,325,62,16,2,0,0,0,180,42,40,21,34,5,5,2,0,24,25,5,7,1,0,0,2,0,0,0,5,2,0,0,185,25
