IS_AUDITED,COUNTY_NAME,PRECINCT_NAME,PRECINCT_CODE,USA_OR_20161108_GEN_PRE_DEM_CLINTON,USA_OR_20161108_GEN_PRE_REP_TRUMP,USA_OR_20161108_GEN_PRE_LIB_JOHNSON,USA_OR_20161108_GEN_PRE_GRE_STEIN,USA_OR_20161108_GEN_PRE_OTH_WRITEIN,USA_OR_20161108_GEN_USS_DEM_WYDEN,USA_OR_20161108_GEN_USS_REP_CALLAHAN,USA_OR_20161108_GEN_USS_LIB_LINDSAY,USA_OR_20161108_GEN_USS_GRE_NAVICKAS,USA_OR_20161108_GEN_USS_WOR_LEWALLEN,USA_OR_20161108_GEN_USS_IND_REYNOLDS,USA_OR_20161108_GEN_USS_OTH_WRITEIN,USA_OR_20161108_GEN_GOV_DEM_BROWN,USA_OR_20161108_GEN_GOV_REP_PIERCE,USA_OR_20161108_GEN_GOV_LIB_FOSTER,USA_OR_20161108_GEN_GOV_CON_AUER,USA_OR_20161108_GEN_GOV_IND_THOMASON,USA_OR_20161108_GEN_GOV_OTH_WRITEIN,USA_OR_20161108_GEN_ATG_DEM_ROSENBLUM,USA_OR_20161108_GEN_ATG_REP_CROWE,USA_OR_20161108_GEN_ATG_LIB_HEDBOR,USA_OR_20161108_GEN_ATG_OTH_WRITEIN,USA_OR_20161108_GEN_SOS_DEM_AVAKIAN,USA_OR_20161108_GEN_SOS_REP_RECHARDSON,USA_OR_20161108_GEN_SOS_LIB_DURBIN,USA_OR_20161108_GEN_SOS_GRE_ZUNDEL,USA_OR_20161108_GEN_SOS_CON_MARSH,USA_OR_20161108_GEN_SOS_IND_WELLS,USA_OR_20161108_GEN_SOS_OTH_WRITEIN,USA_OR_20161108_GEN_TRE_DEM_READ,USA_OR_20161108_GEN_TRE_REP_GUDMAN,USA_OR_20161108_GEN_TRE_PRO_HENRY,USA_OR_20161108_GEN_TRE_IND_TELFER,USA_OR_20161108_GEN_TRE_OTH_WRITEIN
0,_Tillamook,_NESKOWIN,_017,253,196,32,17,13,286,179,8,6,9,20,0,255,216,21,3,11,1,267,205,21,0,212,238,16,13,4,18,0,221,204,26,41,0
0,_Tillamook,_NETARTS,_018,327,292,34,8,17,374,231,10,15,9,17,2,336,288,16,6,14,3,328,275,19,1,272,309,17,10,2,24,1,280,262,24,46,0
0,_Tillamook,_OCEANSIDE,_020,156,74,8,10,4,172,61,1,7,4,7,1,156,92,2,3,3,0,154,84,7,1,130,105,2,5,0,6,1,131,80,9,19,1
0,_Tillamook,_PINE GROVE,_021,814,363,49,49,27,878,295,13,35,32,28,0,822,414,12,11,16,0,837,366,19,2,681,463,19,32,9,37,0,701,373,60,93,0
0,_Tillamook,_ROCKAWAY,_024,466,423,31,27,29,535,348,8,31,26,21,2,484,419,21,9,31,0,515,382,30,2,417,434,19,27,7,40,2,406,384,55,80,1
0,_Tillamook,_SOUTH PRAIRIE WEST,_026,79,266,21,5,12,144,200,5,6,5,12,0,101,256,5,4,9,0,110,222,13,0,76,263,7,7,3,7,0,94,227,7,24,0
0,_Tillamook,_SOUTH PRAIRIE EAST,_027,67,260,32,6,11,150,186,1,2,13,14,1,91,252,9,6,9,2,111,219,11,2,79,242,10,4,4,15,1,81,227,13,29,1
0,_Tillamook,_TRASK,_028,70,106,13,4,6,94,82,0,3,5,13,0,88,94,3,3,7,0,91,93,8,0,72,106,6,2,3,7,0,66,91,8,28,0
0,_Tillamook,_UNION,_030,446,394,38,28,28,494,350,13,25,20,23,1,438,436,17,6,23,1,474,375,25,1,384,438,20,18,4,32,3,393,388,36,68,1
0,_Tillamook,_WESTSIDE,_032,114,95,4,1,10,128,68,3,4,7,11,0,113,94,6,3,4,1,123,88,6,0,109,89,3,6,3,10,1,104,85,8,19,0
0,_Tillamook,_WHEELER,_033,204,104,18,14,8,223,80,3,11,14,10,0,214,106,10,3,6,1,216,94,10,0,175,109,11,19,3,12,0,174,92,20,36,0
0,_Tillamook,_TILLAMOOK #1,_035,127,130,24,5,14,167,96,5,6,7,15,0,136,130,7,6,12,0,148,121,9,0,104,147,8,11,7,5,1,114,116,20,31,0
0,_Tillamook,_TILLAMOOK #2,_036,114,159,18,9,7,149,118,4,8,11,11,0,128,147,12,4,10,1,140,141,10,0,118,138,8,10,7,14,0,111,133,16,29,0
0,_Tillamook,_TILLAMOOK #3,_037,105,131,28,8,15,138,96,7,7,14,21,0,115,137,12,7,12,2,138,120,18,0,101,127,13,13,6,20,1,100,115,18,41,1
0,_Tillamook,_TILLAMOOK #4,_038,114,171,17,11,9,149,142,2,2,9,12,0,133,153,6,5,15,1,128,148,16,0,95,170,3,9,5,21,0,102,151,14,30,0
0,_Tillamook,_TILLAMOOK #5,_039,130,135,32,10,10,170,112,7,7,9,9,1,152,144,12,3,6,0,158,121,20,0,123,147,12,6,3,14,0,124,126,14,35,0
0,_Tillamook,_TILLAMOOK #6,_040,123,158,21,6,7,154,106,7,2,16,11,0,134,144,7,7,10,0,145,123,9,0,111,148,11,1,5,14,0,112,120,13,38,0
0,_Umatilla,_N/A,_000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,_Umatilla,_Umatilla Outside,_101,73,336,27,7,13,137,251,14,2,10,28,1,102,293,24,11,18,1,108,296,21,1,68,293,16,4,11,34,1,84,279,14,51,0
0,_Umatilla,_Umatilla City,_102,386,640,58,21,42,484,468,20,14,50,69,4,421,555,29,34,54,3,437,562,36,1,355,580,36,12,20,52,3,344,532,48,122,1
0,_Umatilla,_Hermiston Outside,_103,215,769,50,13,42,393,597,12,8,20,32,1,245,761,14,20,28,0,254,712,35,0,200,762,15,10,11,45,0,224,685,16,81,0
0,_Umatilla,_Hermiston Outside,_104,256,983,49,14,38,436,738,12,12,37,58,0,282,904,35,25,52,2,323,872,40,3,230,925,24,11,19,62,0,224,844,32,146,2
0,_Umatilla,_Hermiston Outside,_105,286,678,46,13,35,389,524,30,11,29,44,1,305,624,34,23,41,3,333,619,32,2,268,631,34,15,22,37,1,270,609,30,85,1
0,_Umatilla,_Stanfield City,_106C,177,440,43,15,24,261,327,8,8,36,33,1,212,382,19,18,36,1,245,382,21,1,201,393,22,6,10,30,1,181,381,18,60,1
0,_Umatilla,_Stanfield Outside,_106R,53,212,21,1,7,97,164,3,0,7,23,0,60,211,6,7,8,0,65,199,11,0,48,214,3,1,3,13,0,43,205,3,26,0
0,_Umatilla,_Echo City,_107C,77,159,18,1,5,107,119,7,2,8,14,0,86,142,16,4,6,0,96,139,10,0,65,151,19,2,1,13,0,79,127,15,28,0
0,_Umatilla,_Echo Outside,_107R,32,160,11,0,7,61,136,5,1,0,2,1,34,161,6,0,5,0,35,155,6,0,23,166,7,2,0,4,0,29,155,2,11,0
0,_Umatilla,_Helix City,_108C,12,53,8,5,5,29,42,1,3,1,3,0,17,52,7,3,2,0,15,53,5,0,12,54,3,2,3,3,0,10,52,6,8,0
0,_Umatilla,_Helix Outside,_108R,23,97,7,1,6,57,67,2,3,0,5,1,24,106,3,0,1,1,29,91,3,1,12,109,4,0,0,5,0,18,96,5,6,0
0,_Umatilla,_Adams City,_109C,29,108,6,2,11,48,89,1,1,6,6,0,38,107,1,1,4,0,41,102,5,1,25,111,4,3,0,6,0,30,108,3,10,0
0,_Umatilla,_Adams Outside,_109R,3,41,2,0,2,6,41,0,0,0,1,0,4,43,0,0,0,0,4,40,0,0,3,42,0,0,1,0,0,5,38,0,4,0
0,_Umatilla,_Pendleton Outside,_110,190,584,30,7,21,359,435,6,4,10,14,0,197,615,8,1,8,0,219,551,18,0,141,621,11,4,6,21,0,151,550,12,71,0
0,_Umatilla,_Pendleton Outside,_111,476,695,54,37,43,679,486,14,26,39,40,0,518,667,37,13,36,0,566,606,32,2,405,696,36,39,10,50,0,427,608,54,124,0
0,_Umatilla,_Meacham,_112,18,77,0,1,1,28,67,0,0,2,2,0,15,75,2,3,2,0,21,71,0,0,16,75,0,1,1,3,0,12,69,3,7,0
