IS_AUDITED,COUNTY_NAME,PRECINCT_NAME,PRECINCT_CODE,USA_KY_20201103_GEN_PRE_REP_TRUMP,USA_KY_20201103_GEN_PRE_DEM_BIDEN,USA_KY_20201103_GEN_PRE_LIB_JORGENSEN,USA_KY_20201103_GEN_PRE_IND_WEST,USA_KY_20201103_GEN_PRE_IND_PIERCE,USA_KY_20201103_GEN_USS_REP_MCCONNELL,USA_KY_20201103_GEN_USS_DEM_MCGRATH,USA_KY_20201103_GEN_USS_LIB_BARRON
0,_111,_PRECINCT 146 30 DISTRICT,_00C146,0,1,0,0,0,0,1,0
0,_111,_PRECINCT 146 34 DISTRICT,_00G146,174,671,15,3,0,185,663,19
0,_111,_PRECINCT 146 35 DISTRICT,_00H146,433,357,8,3,1,373,391,34
0,_111,_PRECINCT 146 37 DISTRICT,_00I146,398,325,7,5,2,353,348,30
0,_111,_PRECINCT 146 38 DISTRICT,_00J146,0,0,0,0,0,0,0,0
0,_111,_PRECINCT 146 40 DISTRICT,_00K146,457,428,13,6,0,437,443,24
0,_111,_PRECINCT 146 41 DISTRICT,_00L146,272,535,13,0,0,276,534,16
0,_111,_PRECINCT 146 42 DISTRICT,_00M146,70,576,12,4,2,73,576,17
0,_111,_PRECINCT 146 43 DISTRICT,_00N146,230,329,4,4,1,246,324,3
0,_111,_PRECINCT 146 48 DISTRICT,_00S146,262,424,10,8,0,247,432,23
0,_111,_PRECINCT 147 30 DISTRICT,_00C147,0,4,0,0,0,0,4,0
0,_111,_PRECINCT 147 34 DISTRICT,_00G147,226,523,6,2,1,236,513,14
0,_111,_PRECINCT 147 35 DISTRICT,_00H147,294,253,8,6,1,255,272,32
0,_111,_PRECINCT 147 37 DISTRICT,_00I147,25,18,1,0,0,24,18,2
0,_111,_PRECINCT 147 38 DISTRICT,_00J147,218,389,15,2,5,188,412,27
0,_111,_PRECINCT 147 40 DISTRICT,_00K147,457,617,11,8,4,416,644,39
0,_111,_PRECINCT 147 41 DISTRICT,_00L147,23,490,4,1,1,16,495,9
0,_111,_PRECINCT 147 42 DISTRICT,_00M147,74,398,7,4,0,64,407,11
0,_111,_PRECINCT 147 43 DISTRICT,_00N147,31,82,0,0,0,29,81,3
0,_111,_PRECINCT 148 30 DISTRICT,_00C148,15,15,1,0,0,14,16,1
0,_111,_PRECINCT 148 32 DISTRICT,_00E148,454,555,14,1,0,491,535,11
