IS_AUDITED,COUNTY_NAME,PRECINCT_NAME,PRECINCT_CODE,USA_ND_20201103_GEN_PRE_REP_TRUMP,USA_ND_20201103_GEN_PRE_DEM_BIDEN,USA_ND_20201103_GEN_PRE_LIB_JORGENSEN,USA_ND_20201103_GEN_PRE_OTH_WRITEIN,USA_ND_20201103_GEN_HAL_REP_ARMSTRONG,USA_ND_20201103_GEN_HAL_DEM_RAKNERUD,USA_ND_20201103_GEN_HAL_LIB_PETERSON,USA_ND_20201103_GEN_HAL_OTH_WRITEIN,USA_ND_20201103_GEN_GOV_REP_BURGUM,USA_ND_20201103_GEN_GOV_DEM_LENZ,USA_ND_20201103_GEN_GOV_LIB_HENDRICKSON,USA_ND_20201103_GEN_GOV_OTH_WRITEIN,USA_ND_20201103_GEN_AUD_REP_GALLION,USA_ND_20201103_GEN_AUD_DEM_HART,USA_ND_20201103_GEN_AUD_OTH_WRITEIN,USA_ND_20201103_GEN_TRE_REP_BEADLE,USA_ND_20201103_GEN_TRE_DEM_HAUGEN,USA_ND_20201103_GEN_TRE_OTH_WRITEIN,USA_ND_20201103_GEN_INS_REP_GODFREAD,USA_ND_20201103_GEN_INS_OTH_WRITEIN,USA_ND_20201103_GEN_PSC_REP_KROSHUS,USA_ND_20201103_GEN_PSC_DEM_BUCKMANN,USA_ND_20201103_GEN_PSC_OTH_WRITEIN
0,_105,_Precinct 55,_Precinct 55,240,66,11,0,237,59,10,1,214,55,24,20,227,68,1,220,77,0,246,3,223,67,1
0,_105,_Precinct 59,_Precinct 59,1803,371,67,18,1807,317,67,1,1677,295,87,146,1774,354,4,1746,382,5,1912,12,1749,357,4
0,_105,_Precinct 60,_Precinct 60,1368,300,45,10,1347,246,71,1,1279,214,89,100,1342,273,2,1282,335,4,1436,15,1305,298,1
0,_105,_Precinct 62,_Precinct 62,320,33,8,0,319,27,9,0,270,33,20,30,317,31,0,303,42,0,318,1,310,37,0
0,_105,_Precinct 63,_Precinct 63,353,87,18,1,352,77,22,1,345,74,18,21,337,98,0,328,105,0,380,7,331,96,0
0,_105,_Precinct 64,_Precinct 64,1050,122,10,5,1015,112,23,1,811,93,37,214,986,131,2,966,141,13,1015,5,974,130,2
0,_105,_Precinct 65,_Precinct 65,161,28,5,2,159,25,8,0,144,31,13,8,148,33,0,145,42,0,167,0,153,34,0
0,_105,_Precinct 67,_Precinct 67,152,36,3,0,150,32,2,0,123,34,9,21,134,45,0,133,47,0,157,2,143,37,0
0,_105,_Precinct 74,_Precinct 74,1937,495,65,13,1943,416,90,4,1867,363,100,134,1910,478,4,1900,487,16,2119,30,1875,490,3
0,_105,_Precinct 75,_Precinct 75,273,60,5,0,272,44,8,1,242,45,15,26,269,45,0,263,55,1,288,4,261,52,1
0,_105,_Precinct 76,_Precinct 76,523,144,22,0,494,121,38,2,467,111,48,34,495,131,3,491,141,5,537,8,490,133,2
