IS_AUDITED,COUNTY_NAME,PRECINCT_NAME,PRECINCT_CODE,USA_MI_20201103_GEN_PRE_DEM_BIDEN,USA_MI_20201103_GEN_PRE_REP_TRUMP,USA_MI_20201103_GEN_PRE_LIB_JORGENSEN,USA_MI_20201103_GEN_PRE_TAX_BLANKENSHIP,USA_MI_20201103_GEN_PRE_GRE_HAWKINS,USA_MI_20201103_GEN_PRE_NAT_FUENTE,USA_MI_20201103_GEN_USS_DEM_PETERS,USA_MI_20201103_GEN_USS_REP_JAMES,USA_MI_20201103_GEN_USS_TAX_WILLIS,USA_MI_20201103_GEN_USS_GRE_SQUIER,USA_MI_20201103_GEN_USS_NAT_DERN
0,_Algonac City,"_Algonac City, Precinct 2",_Algonac 2,386,916,24,3,4,1,406,871,14,10,7
0,_Allegan City,"_Allegan City, Precinct 1",_Allegan 1,360,359,22,1,5,2,342,370,15,11,1
0,_Allegan City,"_Allegan City, Precinct 2",_Allegan 2,660,736,31,1,7,1,632,742,28,15,1
0,_Allegan Township,"_Allegan Township, Precinct 1",_Allegan Twp 1,733,1126,26,3,6,2,688,1150,24,9,10
0,_Allegan Township,"_Allegan Township, Precinct 2",_Allegan Twp 2,263,448,4,1,3,0,250,449,5,3,1
0,_Allen Park City,"_Allen Park City, Precinct 1",_Allen Park 1,589,432,10,2,1,3,582,421,21,3,2
0,_Allen Park City,"_Allen Park City, Precinct 10",_Allen Park 10,421,396,8,1,0,2,412,380,12,7,2
0,_Allen Park City,"_Allen Park City, Precinct 11",_Allen Park 11,629,673,7,3,2,0,631,635,15,4,5
0,_Allen Park City,"_Allen Park City, Precinct 12",_Allen Park 12,464,403,7,1,2,0,444,402,11,7,1
0,_Allen Park City,"_Allen Park City, Precinct 13",_Allen Park 13,449,547,12,2,2,0,436,539,11,9,1
0,_Allen Park City,"_Allen Park City, Precinct 14",_Allen Park 14,594,604,19,1,6,2,585,603,9,8,4
0,_Allen Park City,"_Allen Park City, Precinct 15",_Allen Park 15,486,482,14,4,1,0,479,485,7,7,0
0,_Allen Park City,"_Allen Park City, Precinct 16",_Allen Park 16,402,490,9,0,3,0,391,482,12,3,6
0,_Allen Park City,"_Allen Park City, Precinct 2",_Allen Park 2,652,638,13,2,0,0,646,620,13,6,5
0,_Allen Park City,"_Allen Park City, Precinct 3",_Allen Park 3,577,575,11,2,1,0,574,544,21,5,3
0,_Allen Park City,"_Allen Park City, Precinct 4",_Allen Park 4,425,430,9,0,2,2,418,418,12,9,5
0,_Allen Park City,"_Allen Park City, Precinct 5",_Allen Park 5,754,807,13,1,2,0,757,763,16,11,5
0,_Allen Park City,"_Allen Park City, Precinct 7",_Allen Park 7,643,612,20,1,5,0,656,592,7,14,1
0,_Allen Park City,"_Allen Park City, Precinct 8",_Allen Park 8,560,544,5,1,3,1,568,502,8,8,3
0,_Allen Park City,"_Allen Park City, Precinct 9",_Allen Park 9,769,727,19,2,5,0,758,716,22,12,3
0,_Allen Township,"_Allen Township, Precinct 1",_Allen Twp 1,204,678,8,4,5,0,218,646,12,8,6
0,_Allendale Township,"_Allendale Township, Precinct 1",_Allendale Twp 1,658,1508,35,2,3,1,596,1579,10,10,2
0,_Allendale Township,"_Allendale Township, Precinct 2",_Allendale Twp 2,645,1322,47,0,5,3,610,1369,19,13,0
0,_Allendale Township,"_Allendale Township, Precinct 3",_Allendale Twp 3,648,1770,39,7,3,0,599,1810,17,17,2
0,_Allendale Township,"_Allendale Township, Precinct 4",_Allendale Twp 4,761,1048,41,0,8,4,704,1101,15,19,4
0,_Allendale Township,"_Allendale Township, Precinct 5",_Allendale Twp 5,767,422,16,1,2,0,695,465,4,18,1
0,_Allis Township,"_Allis Township, Precinct 1",_Allis Twp 1,179,396,7,0,0,0,193,375,4,1,2
0,_Allouez Township,"_Allouez Township, Precinct 1",_Allouez Twp 1,363,582,10,1,1,0,373,565,1,3,0
0,_Alma City,"_Alma City, Precinct 1",_Alma 1,576,511,9,0,2,0,556,527,3,6,1
