IS_AUDITED,COUNTY_NAME,PRECINCT_NAME,PRECINCT_CODE,USA_WY_20201103_GEN_PRE_REP_TRUMP,USA_WY_20201103_GEN_PRE_DEM_BIDEN,USA_WY_20201103_GEN_PRE_LIB_JORGENSEN,USA_WY_20201103_GEN_PRE_IND_PIERCE,USA_WY_20201103_GEN_PRE_OTH_WRITEIN,USA_WY_20201103_GEN_USS_REP_LUMMIS,USA_WY_20201103_GEN_USS_DEM_DAVID,USA_WY_20201103_GEN_USS_OTH_WRITEIN,USA_WY_20201103_GEN_HAL_REP_CHENEY,USA_WY_20201103_GEN_HAL_DEM_BULL,USA_WY_20201103_GEN_HAL_LIB_BRUBAKER,USA_WY_20201103_GEN_HAL_CON_HAGGIT,USA_WY_20201103_GEN_HAL_OTH_WRITEIN
0,_033,_THE ROCK CHURCH,_003-04,518,193,22,4,5,536,189,4,513,172,30,14,0
0,_033,_CALVARY BAPTIST CHURCH,_003-05,647,255,21,8,6,683,234,1,658,200,38,13,0
0,_033,_WATER PRODUCTS INC,_004-02,547,240,28,5,3,579,209,2,534,196,35,25,0
0,_033,_HOLY NAME CHURCH,_004-03,637,193,30,6,7,659,188,6,589,180,39,34,2
0,_033,_HOLY NAME CHURCH,_004-04,151,60,6,6,1,158,58,1,139,56,12,7,1
0,_033,_TOURIST INFORMATION CENTER,_005-01,125,33,4,2,0,126,36,0,122,31,6,4,0
0,_033,_BETHESDA WORSHIP,_006-01,533,132,14,4,3,557,118,2,534,110,22,8,0
0,_033,_BECKTON SCHOOL HOUSE BUILDING,_007-01,242,72,6,3,2,252,67,3,236,62,11,8,0
0,_033,_STORY WOMANS CLUB,_008-01,515,194,10,0,3,518,189,1,486,168,27,19,1
0,_033,_POWDER RIVER COMMUNITY CENTER,_009-01,51,6,0,0,0,51,6,1,46,7,0,4,1
0,_033,_CLEARMONT TOWN HALL,_010-01,155,17,1,1,0,156,15,0,147,17,2,5,0
0,_033,_BETHESDA WORSHIP,_011-01,705,164,14,4,4,706,173,4,662,147,38,22,4
0,_033,_BIG HORN WOMENS CLUB,_012-01,1194,388,23,11,6,1236,362,9,1207,328,39,28,4
0,_033,_FAIRGROUNDS EXHIBIT HALL (CHURCH),_013-01,401,113,4,2,2,398,108,5,387,97,12,8,0
0,_033,_WYARNO FIRE HALL,_016-01,230,39,4,2,1,233,35,0,225,29,7,6,0
0,_033,_RANCHESTER TOWN HALL (INSIDE),_017-01,409,85,6,3,3,412,81,0,393,71,16,12,0
0,_033,_RANCHESTER TOWN HALL (OUTSIDE),_017-02,291,56,5,0,5,292,59,1,278,52,9,11,0
0,_033,_RANCHESTER TOWN HALL (SLACK),_018-01,52,8,3,0,0,51,10,0,45,10,3,4,0
0,_033,_PRAIRIE DOG COMMUNITY CENTER,_019-01,259,54,2,4,1,263,48,1,254,42,4,8,0
0,_033,_DAYTON TOWN HALL (INSIDE),_020-01,437,99,10,5,1,443,96,2,427,88,17,9,2
0,_033,_DAYTON TOWN HALL (OUTSIDE),_020-02,139,36,9,1,0,145,37,1,144,28,7,2,2
0,_035,_Pinedale,_0001-1,778,313,12,9,5,805,287,3,747,284,30,25,3
0,_035,_Pinedale West,_0001-3,910,187,34,9,2,920,185,3,845,181,37,49,0
0,_035,_Boulder,_0001-4,581,94,13,1,9,587,93,2,548,93,14,25,1
0,_035,_Big Piney,_0002-1,623,56,2,6,3,629,47,3,586,55,18,15,1
0,_035,_Marbelton,_0002-2,345,39,3,4,0,344,39,2,326,36,6,13,1
0,_035,_Cora,_0004-1,328,89,3,5,2,327,84,0,304,93,12,8,0
0,_035,_Daniel,_0004-2,227,52,3,1,1,225,55,0,211,48,4,12,1
0,_035,_Bondurant,_0005-1,165,52,1,2,1,167,45,0,162,47,7,2,0
0,_037,_Granger,_000101,84,8,6,4,1,90,11,0,72,12,10,4,0
0,_037,_RS Edgar Street,_000302,755,283,33,3,9,784,272,1,713,261,49,28,0
0,_037,_RS Prairie,_000303,223,74,5,2,1,223,80,0,208,70,16,5,0
0,_037,_RS Downtown,_000304,87,31,3,1,0,78,36,0,75,31,3,7,0
0,_037,_RS Wyoming Street,_000305,224,121,9,1,3,242,107,0,201,117,22,9,0
0,_037,_RS SOUTH SIDE PARISH CENTER,_000401,255,144,9,0,2,269,134,2,238,136,17,12,0
0,_037,_RS Gookin,_000402,279,88,11,6,0,293,84,2,248,83,27,20,1
0,_037,_Blairtown,_000403,194,69,8,1,4,203,65,1,181,67,13,7,0
0,_037,_RS CONGREGATIONAL CHURCH,_000404,526,208,22,5,2,531,211,2,484,188,34,30,0
0,_037,_RS FIRE STATION #1,_000501,145,59,1,0,3,156,49,2,149,49,6,2,0
0,_037,_RS Foothill South,_000502,1097,322,45,10,11,1137,314,4,1011,294,90,50,2
0,_037,_RS Foothill North #1,_000503,608,204,12,6,4,616,204,1,557,189,27,29,1
0,_037,_RS Foothill North #1,_000504,449,166,4,4,4,452,163,3,433,148,19,12,3
0,_037,_RS WHITE MTN LIBRARY #2,_000505,266,80,6,4,1,262,86,2,219,89,23,13,1
0,_037,_RS North Belt Route,_000601,334,122,10,3,1,331,127,3,294,124,16,22,1
0,_037,_RS KC HALL #1,_000602,335,105,13,3,0,333,108,2,314,100,23,7,0
0,_037,_Rock Springs The bluffs,_000603,252,85,12,6,3,269,83,1,244,81,14,11,0
0,_037,_RS KC HALL #1,_000604,205,49,1,1,1,202,48,0,176,48,9,13,0
0,_037,_COUNTY FAIRGROUNDS #1,_000701,653,137,4,6,5,649,142,1,607,143,17,19,3
0,_037,_COUNTY FAIRGROUNDS #2,_000702,241,12,4,0,0,234,13,0,212,12,8,11,0
0,_037,_JAMESTOWN K-MOTIVE #1,_000901,152,27,4,0,0,143,33,1,127,35,5,5,1
0,_037,_JAMESTOWN K-MOTIVE #2,_000902,51,10,0,1,0,49,11,0,48,10,2,0,0
0,_037,_GR COURTHOUSE #1,_001001,480,201,10,5,2,463,214,1,369,211,46,39,2
0,_037,_GR COURTHOUSE #2,_001002,168,73,2,2,1,163,73,1,144,75,7,12,0
0,_037,_GR LINCOLN MIDDLE SCHOOL,_001003,467,143,14,3,2,462,154,2,423,130,30,34,0
0,_037,_GR RECREATION CENTER,_001004,1575,455,50,17,11,1598,476,6,1430,434,100,92,6
0,_037,_GR MONROE BAPTIST CHURCH,_001005,332,135,11,4,5,347,135,0,308,130,9,27,0
0,_037,_GR TRUMAN SCHOOL,_001006,498,171,19,3,1,493,181,2,439,172,33,30,1
0,_037,_GR MONROE BAPTIST CHURCH,_001007,394,125,11,7,4,386,140,4,348,120,25,27,3
0,_037,_RELIANCE LIBRARY/EAST,_001201,151,38,3,3,1,152,38,0,138,39,6,6,0
0,_037,_WASHAM,_001301,32,5,0,0,0,31,6,0,31,5,1,0,0
0,_037,_Superior,_001901,118,23,0,3,0,119,19,1,97,28,5,3,1
0,_037,_FARSON,_002001,328,26,6,3,1,329,31,1,314,22,14,8,0
0,_037,_Point of Rocks,_002101,17,11,0,0,0,16,12,0,14,12,1,1,0
0,_037,_WAMSUTTER,_002301,109,8,1,1,0,102,13,0,95,10,3,11,0
0,_037,_McKinnon,_002401,94,1,1,0,0,92,0,0,85,1,3,4,0
0,_037,_BAIROIL,_002501,51,4,0,0,0,52,4,0,51,4,0,1,0
0,_039,_1-1,_0001-1,512,837,21,11,15,657,723,3,626,678,40,14,2
0,_039,_1-2,_0001-2,214,899,21,9,10,266,850,6,249,836,31,5,2
0,_039,_1-3,_0001-3,214,391,2,5,13,289,323,2,311,291,12,2,2
0,_039,_1-4,_0001-4,112,190,5,0,6,133,173,0,125,166,11,2,0
0,_039,_1-5,_0001-5,247,883,22,4,13,312,841,3,307,799,35,8,0
