IS_AUDITED,COUNTY_NAME,PRECINCT_NAME,PRECINCT_CODE,USA_SC_20161108_GEN_PRE_REP_TRUMP,USA_SC_20161108_GEN_PRE_DEM_CLINTON,USA_SC_20161108_GEN_PRE_LIB_JOHNSON,USA_SC_20161108_GEN_PRE_GRE_STEIN,USA_SC_20161108_GEN_PRE_IND_MCMULLIN,USA_SC_20161108_GEN_PRE_CON_CASTLE,USA_SC_20161108_GEN_PRE_AME_SKEWES,USA_SC_20161108_GEN_USS_REP_SCOTT,USA_SC_20161108_GEN_USS_DEM_DIXON,USA_SC_20161108_GEN_USS_LIB_BLEDSOE,USA_SC_20161108_GEN_USS_AME_SCARBOROUGH,USA_SC_20161108_GEN_USS_OTH_WRITEIN
0,_003,_Levels No. 52,_052,478,363,36,6,5,2,0,501,339,27,5,1
0,_003,_Hollow Creek,_053,543,213,17,5,18,0,0,610,157,17,2,0
0,_003,_N. Augusta No. 54,_054,337,414,21,2,11,2,0,355,397,17,5,0
0,_003,_N. Augusta No. 55,_055,535,189,29,10,18,2,0,572,181,21,1,0
0,_003,_Couchton,_056,540,297,22,3,1,4,0,505,295,36,7,5
0,_003,_Redds Branch,_057,499,234,29,3,7,2,1,491,221,32,1,0
0,_003,_Fox Creek No. 58,_058,784,238,22,2,14,0,1,811,215,11,5,0
0,_003,_Pine Forest,_059,976,246,23,1,20,1,4,957,238,22,20,0
0,_003,_Gem Lakes No. 60,_060,629,204,25,8,21,2,1,685,161,17,3,1
0,_003,_Silver Bluff,_061,503,631,19,6,4,1,0,504,599,28,3,2
0,_003,_Belvedere No. 62,_062,350,415,4,10,4,6,1,365,388,13,0,3
0,_003,_Ascauga Lake No. 63,_063,468,213,23,2,11,4,0,489,202,15,2,0
0,_003,_Cedar Creek No. 64,_064,629,196,16,8,10,0,1,682,157,8,0,1
0,_003,_Sleepy Hollow No. 65,_065,1034,290,36,5,27,5,2,1115,225,31,8,0
0,_003,_Hitchcock No. 66,_066,482,218,14,5,6,1,1,542,170,10,1,3
0,_003,_N. Augusta No. 67,_067,657,188,28,6,15,7,1,715,160,23,2,0
0,_003,_N. Augusta No. 68,_068,1112,306,45,12,23,1,3,1156,295,40,10,0
0,_003,_Anderson Pond No. 69,_069,724,254,28,5,14,2,5,841,175,8,1,0
0,_003,_Sandstone No. 70,_070,570,283,45,5,18,7,0,613,269,27,3,0
