IS_AUDITED,COUNTY_NAME,PRECINCT_NAME,PRECINCT_CODE,USA_ND_20161108_GEN_PRE_REP_TRUMP,USA_ND_20161108_GEN_PRE_DEM_CLINTON,USA_ND_20161108_GEN_PRE_LIB_JOHNSON,USA_ND_20161108_GEN_PRE_GRE_STEIN,USA_ND_20161108_GEN_PRE_CON_CASTLE,USA_ND_20161108_GEN_PRE_DEL_FUENTE,USA_ND_20161108_GEN_PRE_OTH_WRITEIN,USA_ND_20161108_GEN_USS_REP_HOEVEN,USA_ND_20161108_GEN_USS_DEM_GLASSHEIM,USA_ND_20161108_GEN_USS_LIB_MARQUETTE,USA_ND_20161108_GEN_USS_IND_GERMANLIC,USA_ND_20161108_GEN_USS_OTH_WRITEIN,USA_ND_20161108_GEN_HAL_REP_CRAMER,USA_ND_20161108_GEN_HAL_DEM_EYES,USA_ND_20161108_GEN_HAL_LIB_SEAMAN,USA_ND_20161108_GEN_HAL_OTH_WRITEIN,USA_ND_20161108_GEN_GOV_REP_BURGUM,USA_ND_20161108_GEN_GOV_DEM_NELSON,USA_ND_20161108_GEN_GOV_LIB_RISKE,USA_ND_20161108_GEN_GOV_OTH_WRITEIN,USA_ND_20161108_GEN_AUD_REP_GALLION,USA_ND_20161108_GEN_AUD_LIB_RIEMERS,USA_ND_20161108_GEN_AUD_OTH_WRITEIN,USA_ND_20161108_GEN_TRE_REP_SCHMIDT,USA_ND_20161108_GEN_TRE_DEM_MATHERN,USA_ND_20161108_GEN_TRE_LIB_OLSON,USA_ND_20161108_GEN_TRE_OTH_WRITEIN,USA_ND_20161108_GEN_INS_REP_GODFREAD,USA_ND_20161108_GEN_INS_DEM_BUFFALO,USA_ND_20161108_GEN_INS_LIB_BATA,USA_ND_20161108_GEN_INS_OTH_WRITEIN,USA_ND_20161108_GEN_PSC_REP_FEDORCHAK,USA_ND_20161108_GEN_PSC_DEM_HUNTE_BEAUBRUN,USA_ND_20161108_GEN_PSC_LIB_SKADELAND,USA_ND_20161108_GEN_PSC_OTH_WRITEIN
0,_035,_Alerus 01,_Alerus 01,450,191,20,6,1,0,3,512,135,15,5,0,487,157,23,0,515,126,22,0,530,81,3,434,160,34,0,450,144,35,0,445,144,35,0
0,_035,_Alerus 05,_Alerus 05,1209,862,159,25,11,2,53,1651,548,57,23,2,1464,637,127,5,1596,533,110,1,1555,434,8,1226,734,151,4,1264,647,161,2,1262,619,150,4
0,_035,_Alerus 24,_Alerus 24,614,506,61,12,7,1,28,802,372,27,5,1,742,385,60,5,815,336,37,1,836,225,5,649,424,61,4,668,379,70,6,662,358,86,2
0,_035,_Alerus 25,_Alerus 25,376,356,72,15,3,0,21,531,250,24,15,0,468,285,49,1,518,249,29,1,523,172,5,391,319,52,2,391,295,58,0,408,270,53,0
0,_035,_Alerus 26,_Alerus 26,920,672,94,20,7,4,37,1225,446,43,23,2,1079,507,94,2,1199,430,63,1,1173,295,7,937,564,88,2,980,505,83,2,982,445,96,3
0,_035,_Alerus 27,_Alerus 27,762,656,87,23,11,3,21,1013,473,31,15,0,890,523,84,0,970,475,56,0,1018,277,11,763,563,84,1,769,518,95,5,776,478,88,2
0,_035,_Bible Baptist Church,_Bible Baptist Church,351,130,37,7,1,1,8,390,99,21,9,0,363,108,34,0,384,87,35,0,358,90,4,293,133,46,1,295,120,52,0,310,102,46,2
0,_035,_Emerado Community Hall,_Emerado Community Hall,414,147,59,7,7,1,13,470,103,32,17,2,427,136,53,1,448,104,47,0,443,112,1,363,142,68,1,359,144,63,0,354,140,59,0
0,_035,_First Presbyterian Church,_First Presbyterian Church,962,660,77,17,5,3,47,1250,465,34,10,1,1114,512,76,5,1224,434,45,6,1267,257,8,985,572,69,2,1031,498,87,1,1031,468,82,0
0,_035,_Gilby Presbyterian Church,_Gilby Presbyterian Church,255,83,37,1,2,0,7,320,47,13,8,0,275,81,28,1,294,55,35,0,296,62,2,244,90,35,2,247,76,47,0,265,63,37,0
0,_035,_Gorecki Alumni Center,_Gorecki Alumni Center,475,575,140,34,3,4,37,677,428,77,28,1,558,522,111,1,624,446,95,1,611,387,12,497,455,149,1,461,492,127,2,488,441,132,0
0,_035,_Grand Forks City Hall 08,_Grand Forks City Hall 08,380,307,63,15,2,1,19,482,256,29,6,1,421,271,70,1,490,228,42,0,475,189,4,365,280,62,0,358,283,64,0,384,246,67,1
0,_035,_Grand Forks City Hall 09,_Grand Forks City Hall 09,346,320,76,19,4,1,16,448,258,44,15,1,400,292,69,0,441,258,55,2,454,222,5,332,299,95,2,340,277,98,1,338,265,99,2
0,_035,_Holy Family,_Holy Family,1112,871,151,29,6,5,54,1469,649,61,27,2,1345,708,121,2,1504,576,93,1,1534,415,12,1155,771,145,1,1227,652,171,0,1244,613,144,1
0,_035,_Hope Evangelical Church,_Hope Evangelical Church,808,576,103,24,7,0,20,1037,422,35,24,0,923,462,95,1,1016,408,67,0,1042,293,12,768,543,118,2,832,455,107,2,822,438,121,1
0,_035,_ICON Arena/Park District Office 04,_ICON Arena/Park District Office 04,1263,708,90,10,7,2,36,1691,400,14,12,1,1490,501,64,5,1683,363,44,0,1597,249,8,1280,613,65,1,1370,485,81,1,1339,450,85,1
0,_035,_ICON Arena/Park District Office 23,_ICON Arena/Park District Office 23,96,98,16,5,1,0,5,116,78,11,5,0,108,84,20,0,105,87,12,0,117,62,1,87,90,21,0,85,90,26,0,96,71,29,0
0,_035,_Larimore Senior Citizens Center,_Larimore Senior Citizens Center,818,259,68,10,6,1,30,978,159,30,24,1,878,229,68,1,964,172,47,3,947,163,4,780,274,91,0,776,242,101,1,797,223,85,0
0,_035,_Manvel Public School,_Manvel Public School,355,132,28,7,1,1,7,414,97,12,5,0,375,104,41,0,390,92,35,2,366,104,2,295,143,44,0,315,114,51,1,322,106,39,2
0,_035,_Northwood Community Center,_Northwood Community Center,469,153,46,6,0,2,16,574,100,16,3,1,496,139,47,1,548,115,22,4,520,125,2,458,164,45,0,454,142,57,1,463,129,59,0
0,_035,_Public Works,_Public Works,562,363,76,7,11,1,20,731,249,36,16,0,660,298,62,0,681,271,58,1,705,201,8,545,324,98,0,546,320,95,2,562,286,101,3
