IS_AUDITED,COUNTY_NAME,PRECINCT_NAME,PRECINCT_CODE,USA_OR_20201103_GEN_PRE_DEM_BIDEN,USA_OR_20201103_GEN_PRE_REP_TRUMP,USA_OR_20201103_GEN_PRE_LIB_JORGENSEN,USA_OR_20201103_GEN_PRE_GRE_HAWKINS,USA_OR_20201103_GEN_PRE_PRO_HUNTER,USA_OR_20201103_GEN_PRE_OTH_WRITEIN,USA_OR_20201103_GEN_USS_DEM_MERKLEY,USA_OR_20201103_GEN_USS_REP_PERKINS,USA_OR_20201103_GEN_USS_LIB_DYE,USA_OR_20201103_GEN_USS_GRE_TAHER,USA_OR_20201103_GEN_USS_OTH_WRITEIN,USA_OR_20201103_GEN_ATG_DEM_ROSENBLUM,USA_OR_20201103_GEN_ATG_REP_CROSS,USA_OR_20201103_GEN_ATG_LIB_HEDBOR,USA_OR_20201103_GEN_ATG_OTH_WRITEIN,USA_OR_20201103_GEN_SOS_DEM_FAGAN,USA_OR_20201103_GEN_SOS_REP_THATCHER,USA_OR_20201103_GEN_SOS_LIB_MARKLEY,USA_OR_20201103_GEN_SOS_GRE_PARAVICINI,USA_OR_20201103_GEN_SOS_OTH_WRITEIN,USA_OR_20201103_GEN_TRE_DEM_READ,USA_OR_20201103_GEN_TRE_REB_GUDMAN,USA_OR_20201103_GEN_TRE_IND_HENRY,USA_OR_20201103_GEN_TRE_CON_MARSH,USA_OR_20201103_GEN_TRE_OTH_WRITEIN
0,_Marion,_845,_845,1248,1001,18,7,2,12,1230,961,29,20,4,1168,987,28,14,1121,1005,49,30,1,1138,964,50,41,2
0,_Marion,_855,_855,1068,745,17,8,1,10,1078,672,26,35,2,1037,684,31,14,961,731,43,48,6,1013,654,68,39,4
0,_Marion,_865,_865,648,405,17,6,2,6,641,373,20,19,2,626,368,33,12,584,400,26,36,5,587,372,54,29,4
0,_Marion,_905,_905,49,119,0,0,0,0,51,108,0,1,0,47,108,0,0,40,115,3,1,0,42,101,4,10,0
0,_Marion,_915,_915,74,172,10,4,0,1,88,158,8,7,0,75,169,8,0,67,171,6,11,0,66,164,12,12,0
0,_Marion,_925,_925,39,79,0,0,0,0,44,72,2,0,0,43,67,0,0,36,78,2,1,0,36,64,4,9,0
0,_Marion,_935,_935,13,25,0,1,0,0,15,24,0,0,0,13,25,1,0,14,24,1,0,0,12,22,1,4,0
0,_Marion,_981,_981,120,182,2,2,0,2,112,177,5,5,1,113,172,9,3,105,177,11,6,0,108,169,7,12,0
0,_Marion,_982,_982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,_Morrow,_N/A,_00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,_Morrow,_Boardman,_01,559,776,44,6,1,8,592,725,41,18,2,573,727,48,2,508,767,59,29,0,521,710,63,58,1
