IS_AUDITED,COUNTY_NAME,PRECINCT_NAME,PRECINCT_CODE,USA_KS_20161108_GEN_PRE_DEM_CLINTON,USA_KS_20161108_GEN_PRE_REP_TRUMP,USA_KS_20161108_GEN_PRE_LIB_JOHNSON,USA_KS_20161108_GEN_PRE_GRE_STEIN,USA_KS_20161108_GEN_PRE_OTH_WRITEIN,USA_KS_20161108_GEN_USS_DEM_WIESNER,USA_KS_20161108_GEN_USS_REP_MORAN,USA_KS_20161108_GEN_USS_LIB_GARRARD,USA_KS_20161108_GEN_USS_OTH_WRITEIN
0,_005,_Atchison Precinct 4 Exclave B,_Atchison Precinct 4 Exclave B,0,0,0,0,0,0,0,0,0
0,_005,_Atchison Precinct 5 North,_Atchison Precinct 5 North,204,323,47,20,1,214,337,32,0
0,_005,_Atchison Precinct 5 North Exclave A,_Atchison Precinct 5 North Exclave A,0,0,0,0,0,0,0,0,0
0,_005,_Atchison Precinct 5 North Exclave B,_Atchison Precinct 5 North Exclave B,0,0,0,0,0,0,0,0,0
0,_005,_Atchison Precinct 5 South,_Atchison Precinct 5 South,130,197,20,9,3,132,199,23,0
0,_005,_Atchison Precinct 5 South Exclave A,_Atchison Precinct 5 South Exclave A,0,0,0,0,0,0,0,0,0
0,_005,_Atchison Precinct 5 South Exclave B Voting District,_Atchison Precinct 5 South Exclave B Voting District,0,0,0,0,0,0,0,0,0
0,_005,_Atchison Precinct 5 South Exclave C,_Atchison Precinct 5 South Exclave C,0,0,0,0,0,0,0,0,0
0,_005,_Atchison Precinct 5 South Exclave D,_Atchison Precinct 5 South Exclave D,0,0,0,0,0,0,0,0,0
0,_005,_Benton Township H63,_Benton Township H63,34,80,6,1,0,26,91,4,0
0,_005,_Benton Township Voting District,_Benton Township Voting District,78,240,16,13,0,66,249,23,0
0,_005,_Center Township Voting District,_Center Township Voting District,67,241,15,2,5,60,260,12,0
0,_005,_Grasshopper Township Voting District,_Grasshopper Township Voting District,33,239,7,9,0,40,235,10,0
0,_005,_Huron Township Voting District,_Huron Township Voting District,17,71,5,2,0,20,71,6,0
0,_005,_Kapioma Township Voting District,_Kapioma Township Voting District,26,106,7,2,0,26,105,4,0
0,_005,_Lancaster Township Voting District,_Lancaster Township Voting District,63,209,18,12,0,61,231,9,0
0,_005,_Mount Pleasant Voting District Township,_Mount Pleasant Voting District Township,98,334,15,9,1,106,342,12,0
0,_005,_Shannon Township Voting District,_Shannon Township Voting District,167,432,35,14,2,180,429,31,0
0,_005,_Walnut Township Enclave Voting District,_Walnut Township Enclave Voting District,2,2,0,0,0,1,2,0,0
0,_005,_Walnut Township Voting District,_Walnut Township Voting District,68,152,12,6,2,78,150,12,0
0,_007,_Aetna Township Voting District,_Aetna Township Voting District,1,5,1,0,0,0,6,1,0
0,_007,_Deerhead Township Voting District,_Deerhead Township Voting District,0,7,0,0,0,0,6,1,0
0,_007,_Eagle Township Voting District,_Eagle Township Voting District,0,22,0,0,0,0,21,1,0
0,_007,_Elm Mills Township Voting District,_Elm Mills Township Voting District,10,59,4,3,1,11,60,5,0
0,_007,_Elwood Township Voting District,_Elwood Township Voting District,17,72,3,1,0,16,72,5,0
0,_007,_Hazelton Township Voting District,_Hazelton Township Voting District,15,59,4,1,0,15,60,2,0
0,_007,_Kiowa East Township Voting District,_Kiowa East Township Voting District,41,266,12,6,0,32,273,17,0
0,_007,_Kiowa West Township Voting District,_Kiowa West Township Voting District,29,164,4,1,1,28,162,10,0
0,_007,_Lake City Township Voting District,_Lake City Township Voting District,5,30,1,4,0,3,32,1,0
0,_007,_McAdoo Township Voting District,_McAdoo Township Voting District,0,16,0,0,0,0,16,0,0
0,_007,_Medicine Lodge Precinct 1,_Medicine Lodge Precinct 1,54,266,15,5,1,50,278,14,0
0,_007,_Medicine Lodge Precinct 2,_Medicine Lodge Precinct 2,39,214,14,1,2,40,206,17,0
0,_007,_Medicine Lodge Precinct 2 Exclave,_Medicine Lodge Precinct 2 Exclave,0,0,0,0,0,0,0,0,0
0,_007,_Medicine Lodge Precinct 3,_Medicine Lodge Precinct 3,28,161,6,2,1,23,157,12,0
0,_007,_Medicine Lodge Precinct 4,_Medicine Lodge Precinct 4,11,128,0,1,1,10,119,9,0
0,_007,_Medicine Lodge Precinct 5,_Medicine Lodge Precinct 5,1,29,0,1,0,2,29,1,0
0,_007,_Mingona Township Voting District,_Mingona Township Voting District,4,42,3,0,0,4,42,1,0
0,_007,_Moore Township Voting District,_Moore Township Voting District,5,16,0,0,0,6,15,0,0
0,_007,_Nippawalla Township Voting District,_Nippawalla Township Voting District,0,18,2,0,0,0,18,2,0
0,_007,_Sharon/Ridge Township Voting District,_Sharon/Ridge Township Voting District,17,174,5,2,2,26,165,7,0
0,_007,_Sun City Township Voting District,_Sun City Township Voting District,0,27,2,0,1,2,24,4,0
0,_007,_Turkey Creek Township Voting District,_Turkey Creek Township Voting District,4,9,1,0,0,3,10,1,0
0,_007,_Valley Township Voting District,_Valley Township Voting District,5,66,1,0,0,4,65,3,0
0,_009,_Albion Township Voting District,_Albion Township Voting District,1,24,3,0,0,0,25,0,0
0,_009,_Beaver Township Voting District,_Beaver Township Voting District,7,38,0,0,0,4,36,4,0
0,_009,_Buffalo Township Voting District,_Buffalo Township Voting District,28,197,5,0,0,19,197,11,0
0,_009,_Cheyenne Township Voting District,_Cheyenne Township Voting District,13,91,2,1,0,10,89,7,0
0,_009,_Clarence Township Voting District,_Clarence Township Voting District,8,43,4,1,0,7,47,2,0
0,_009,_Cleveland Township Voting District,_Cleveland Township Voting District,1,17,0,0,0,0,17,1,0
0,_009,_Comanche Township Voting District,_Comanche Township Voting District,22,176,3,2,2,15,178,11,0
0,_009,_Eureka Township Voting District,_Eureka Township Voting District,0,46,0,0,0,1,43,3,0
0,_009,_Fairview Township Voting District,_Fairview Township Voting District,9,35,2,1,0,4,43,3,0
0,_009,_Grant Township Voting District,_Grant Township Voting District,5,17,2,0,0,2,23,1,0
0,_009,_Great Bend City Ward 1 Precinct 1,_Great Bend City Ward 1 Precinct 1,105,200,20,11,0,74,227,25,0
0,_009,_Great Bend City Ward 1 Precinct 1 Courthouse,_Great Bend City Ward 1 Precinct 1 Courthouse,0,0,0,0,0,0,0,0,0
0,_009,_Great Bend City Ward 1 Precinct 2,_Great Bend City Ward 1 Precinct 2,101,363,13,11,2,81,384,21,0
0,_009,_Great Bend City Ward 1 Precinct 3,_Great Bend City Ward 1 Precinct 3,83,273,21,9,3,64,295,29,0
0,_009,_Great Bend City Ward 2 Precinct 1,_Great Bend City Ward 2 Precinct 1,114,470,24,16,2,87,517,25,0
0,_009,_Great Bend City Ward 2 Precinct 2,_Great Bend City Ward 2 Precinct 2,113,442,12,8,7,80,485,19,0
0,_009,_Great Bend City Ward 2 Precinct 3,_Great Bend City Ward 2 Precinct 3,122,563,13,9,0,66,617,21,0
0,_009,_Great Bend City Ward 3 Precinct 1,_Great Bend City Ward 3 Precinct 1,84,303,16,5,3,54,335,16,0
0,_009,_Great Bend City Ward 3 Precinct 2,_Great Bend City Ward 3 Precinct 2,105,329,18,8,2,72,355,31,0
0,_009,_Great Bend City Ward 3 Precinct 3,_Great Bend City Ward 3 Precinct 3,99,385,16,11,2,63,421,19,0
0,_009,_Great Bend City Ward 3 Precinct 3 Exclave,_Great Bend City Ward 3 Precinct 3 Exclave,0,0,0,0,0,0,0,0,0
0,_009,_Great Bend City Ward 4 Precinct 1,_Great Bend City Ward 4 Precinct 1,76,181,11,5,1,55,196,19,0
0,_009,_Great Bend City Ward 4 Precinct 2,_Great Bend City Ward 4 Precinct 2,69,142,11,3,0,53,151,18,0
0,_009,_Great Bend City Ward 4 Precinct 3,_Great Bend City Ward 4 Precinct 3,37,53,4,1,0,23,58,6,0
0,_009,_Great Bend City Ward 4 Precinct 3 Exclave A,_Great Bend City Ward 4 Precinct 3 Exclave A,0,0,0,0,0,0,0,0,0
0,_009,_Great Bend City Ward 4 Precinct 3 Exclave B,_Great Bend City Ward 4 Precinct 3 Exclave B,0,0,0,0,0,0,0,0,0
0,_009,_Great Bend City Ward 4 Precinct 3 Exclave C,_Great Bend City Ward 4 Precinct 3 Exclave C,0,0,0,0,0,0,0,0,0
0,_009,_Great Bend City Ward 4 Precinct 3 Exclave D1,_Great Bend City Ward 4 Precinct 3 Exclave D1,0,0,0,0,0,0,0,0,0
0,_009,_Great Bend City Ward 4 Precinct 3 Exclave D2,_Great Bend City Ward 4 Precinct 3 Exclave D2,0,0,0,0,0,0,0,0,0
0,_009,_Great Bend Township Part A Voting District,_Great Bend Township Part A Voting District,95,507,12,4,1,66,506,36,0
0,_009,_Great Bend Township Part B Voting District,_Great Bend Township Part B Voting District,12,95,4,0,0,10,92,7,0
0,_009,_Great Bend Township Voting District,_Great Bend Township Voting District,0,0,0,0,0,0,0,0,0
0,_009,_Hoisington Landfill Voting District,_Hoisington Landfill Voting District,0,0,0,0,0,0,0,0,0
