IS_AUDITED,COUNTY_NAME,PRECINCT_NAME,PRECINCT_CODE,USA_LA_20201103_GEN_PRE_REP_TRUMP,USA_LA_20201103_GEN_PRE_DEM_BIDEN,USA_LA_20201103_GEN_PRE_LIB_JORGENSEN,USA_LA_20201103_GEN_PRE_BIR_WEST,USA_LA_20201103_GEN_PRE_OTH_OTHER,USA_LA_20201103_GEN_USS_REP_CASSIDY,USA_LA_20201103_GEN_USS_REP_MURPHY,USA_LA_20201103_GEN_USS_DEM_PERKINS,USA_LA_20201103_GEN_USS_DEM_EDWARDS,USA_LA_20201103_GEN_USS_DEM_PIERCE,USA_LA_20201103_GEN_USS_DEM_KNIGHT,USA_LA_20201103_GEN_USS_DEM_WENSTRUP,USA_LA_20201103_GEN_USS_LIB_SIGLER,USA_LA_20201103_GEN_USS_IND_MENDOZA,USA_LA_20201103_GEN_USS_OTH_PRICE,USA_LA_20201103_GEN_USS_GOL_JOHN,USA_LA_20201103_GEN_USS_NON_BILLIOT,USA_LA_20201103_GEN_USS_NON_BOURGEOIS,USA_LA_20201103_GEN_USS_NON_MONTGOMERY,USA_LA_20201103_GEN_USS_NON_DARET_III
0,_071,_16-9,_0016-9,24,324,1,3,0,29,0,124,77,38,21,5,0,3,3,0,4,2,0,0
0,_071,_17-1,_0017-1,61,416,7,1,5,73,0,315,45,44,8,22,2,2,2,1,4,2,0,0
0,_071,_17-2,_0017-2,77,314,4,0,2,85,5,195,52,19,10,0,3,0,2,0,0,4,0,0
0,_071,_17-3,_0017-3,45,493,9,1,5,49,3,258,91,44,19,12,3,0,3,0,13,3,6,3
0,_071,_17-4,_0017-4,37,332,1,4,2,41,0,216,66,22,8,0,3,2,2,0,4,3,0,0
0,_071,_17-5,_0017-5,53,451,3,1,2,54,5,264,75,60,27,10,2,2,5,3,1,3,0,1
0,_071,_17-6,_0017-6,18,660,9,4,9,30,7,345,150,44,25,7,7,3,10,1,6,7,3,1
0,_071,_17-7,_0017-7,32,478,4,1,10,37,0,333,73,49,8,12,3,3,0,1,4,7,0,0
0,_071,_17-8,_0017-8,29,526,0,1,5,41,3,246,129,57,21,7,0,2,5,0,4,12,1,1
0,_071,_17-9,_0017-9,10,516,3,1,0,12,0,278,113,11,21,7,3,0,3,1,9,4,0,0
0,_071,_3-12,_003-12,82,739,20,3,12,81,3,389,138,77,25,12,15,5,15,2,7,15,2,3
0,_071,_3-14,_003-14,42,266,7,0,3,49,0,187,27,57,8,5,0,0,0,0,2,2,0,0
0,_071,_3-15,_003-15,35,355,2,0,0,44,2,190,45,54,13,10,2,0,2,0,3,5,0,2
0,_071,_3-18,_003-18,50,663,13,6,3,57,3,299,123,80,56,15,14,2,3,2,9,7,3,2
0,_071,_3-19,_003-19,124,536,10,3,5,120,3,377,73,63,8,15,5,5,5,0,3,9,0,0
0,_071,_3-20,_003-20,74,279,7,2,0,66,7,160,61,25,11,10,5,5,3,2,0,0,0,0
0,_071,_4-11,_004-11,230,312,6,2,3,243,7,193,27,41,15,5,9,4,3,0,4,6,0,2
0,_071,_4-14,_004-14,635,490,31,7,3,736,8,290,59,49,11,10,10,5,3,0,0,5,2,0
0,_071,_4-15,_004-15,425,368,12,2,2,451,7,234,61,22,13,7,4,0,2,2,2,3,0,2
0,_071,_4-17,_004-17,433,281,12,0,2,476,8,148,27,35,2,10,5,4,0,0,3,3,2,0
0,_071,_4-18,_004-18,467,261,19,0,2,525,8,145,18,22,4,5,7,5,0,0,0,2,0,0
0,_071,_4-20,_004-20,341,152,12,2,2,378,2,68,30,19,2,0,2,4,3,0,2,0,0,2
0,_071,_4-21,_004-21,314,188,7,2,2,358,0,118,16,8,2,5,2,0,3,0,3,3,0,2
0,_071,_4-22,_004-22,228,165,12,0,0,248,2,92,27,5,4,10,0,7,0,0,0,2,0,3
0,_071,_4-23,_004-23,247,142,4,0,2,254,3,95,14,11,4,5,2,0,0,0,0,0,0,0
0,_071,_5-10,_005-10,14,299,2,2,2,14,0,178,57,38,6,3,4,4,3,2,0,3,3,2
0,_071,_5-11,_005-11,39,238,6,0,0,41,2,169,20,22,11,0,5,2,0,3,4,2,2,2
0,_071,_5-12,_005-12,96,451,6,2,7,100,7,258,61,80,29,15,10,2,3,0,2,2,0,2
0,_071,_5-13,_005-13,106,363,9,8,0,132,2,272,39,35,11,3,4,0,0,0,2,3,0,3
0,_071,_5-15,_005-15,164,431,13,4,5,193,2,287,64,38,13,22,9,5,0,0,6,3,0,0
0,_071,_5-16,_005-16,77,205,3,0,3,90,3,133,25,33,4,7,3,0,3,0,0,0,0,0
0,_071,_5-17,_005-17,287,147,6,2,5,309,5,77,14,11,11,3,3,5,2,0,0,7,0,0
0,_071,_5-18,_005-18,330,193,9,4,0,383,2,101,14,8,8,12,2,2,2,2,2,2,2,0
0,_071,_7-10,_007-10,6,347,0,3,2,8,2,127,84,16,8,15,0,2,2,2,3,5,8,0
0,_071,_7-11,_007-11,21,518,2,2,2,19,2,237,98,63,25,5,0,5,3,3,7,12,2,0
0,_071,_7-12,_007-12,48,434,2,4,0,54,2,267,95,30,13,3,2,2,2,0,4,5,0,0
0,_071,_7-13,_007-13,10,421,0,4,3,15,0,216,102,38,8,10,0,0,7,0,7,6,0,2
0,_071,_7-14,_007-14,13,454,4,3,5,15,7,234,93,60,17,5,3,0,5,0,3,5,3,4
0,_071,_7-15,_007-15,22,436,2,6,2,25,2,252,86,44,23,7,0,0,7,0,4,3,0,0
0,_071,_7-16,_007-16,3,478,3,0,9,8,2,284,66,41,19,7,2,0,5,2,4,7,2,2
0,_071,_7-17,_007-17,64,327,16,0,2,73,2,228,50,38,6,10,7,5,2,0,0,2,2,0
0,_071,_7-18,_007-18,85,615,7,4,2,81,2,353,138,30,31,12,5,7,3,3,9,2,5,0
0,_071,_7-19,_007-19,40,466,7,1,2,42,5,210,138,35,6,12,5,2,2,2,7,2,2,7
0,_071,_7-20,_007-20,13,726,3,7,10,24,3,311,184,83,29,24,0,2,5,0,6,19,2,4
0,_071,_7-21,_007-21,26,604,2,8,3,25,2,299,141,54,27,10,2,0,7,0,9,7,0,2
0,_071,_7-23,_007-23,11,845,4,6,7,30,3,424,212,41,29,15,2,4,7,2,7,13,2,2
0,_071,_7-24,_007-24,19,327,2,1,2,12,0,121,98,33,29,10,0,5,3,0,6,5,0,2
0,_071,_7-25,_007-25,13,480,6,0,5,22,3,237,123,27,13,15,0,2,2,2,6,7,2,2
0,_071,_7-26,_007-26,13,483,3,6,2,19,0,216,132,35,21,12,2,2,2,2,2,7,2,0
0,_071,_7-27,_007-27,8,423,0,0,0,14,7,210,109,27,15,10,2,2,2,0,3,2,0,0
0,_071,_7-28,_007-28,27,490,2,4,3,30,3,193,132,25,13,12,3,4,2,2,4,5,5,3
0,_071,_7-29,_007-29,24,325,0,0,2,20,2,151,89,41,6,0,0,0,2,2,3,3,2,2
0,_071,_7-30,_007-30,77,521,9,3,0,79,0,267,134,49,19,5,7,7,9,2,3,3,5,0
0,_071,_7-32,_007-32,135,180,4,1,0,134,3,101,54,22,2,0,0,0,3,0,0,2,2,0
0,_071,_7-33,_007-33,72,330,4,0,0,76,5,127,93,38,11,15,5,2,3,0,2,5,2,0
0,_071,_7-35,_007-35,39,683,6,4,7,39,2,318,212,57,15,17,0,5,5,3,6,10,3,0
0,_071,_7-37,_007-37,32,521,6,4,5,29,2,261,138,30,19,10,5,2,5,2,6,7,3,0
0,_071,_7-40,_007-40,164,579,20,4,9,186,7,321,118,57,21,20,12,7,3,2,2,7,5,0
0,_071,_7-41,_007-41,201,284,2,3,2,235,0,190,41,11,0,7,2,2,2,2,0,2,0,0
0,_071,_7-42,_007-42,98,152,2,1,0,117,5,104,20,3,0,3,3,2,0,0,2,0,0,0
0,_071,_7-9A,_007-9A,5,269,0,1,0,7,3,101,84,5,4,10,0,5,0,3,7,2,0,0
0,_071,_8-12,_008-12,18,909,2,4,7,24,5,350,228,77,34,5,7,5,7,0,18,21,3,3
