IS_AUDITED,COUNTY_NAME,PRECINCT_NAME,PRECINCT_CODE,USA_SC_20201103_GEN_PRE_REP_TRUMP,USA_SC_20201103_GEN_PRE_DEM_BIDEN,USA_SC_20201103_GEN_PRE_LIB_JORGENSEN,USA_SC_20201103_GEN_PRE_GRE_HAWKINS,USA_SC_20201103_GEN_PRE_ALL_FUENTE,USA_SC_20201103_GEN_USS_REP_GRAHAM,USA_SC_20201103_GEN_USS_DEM_HARRISON,USA_SC_20201103_GEN_USS_CON_BLEDSOE,USA_SC_20201103_GEN_USS_OTH_WRITEIN
0,_009,_Hunter's Chapel,_007,85,72,0,0,0,80,76,1,1
0,_009,_Kearse,_008,80,10,0,0,0,81,9,0,0
0,_009,_Little Swamp,_009,90,10,1,0,0,89,11,2,0
0,_009,_Olar,_010,134,95,2,0,0,137,93,1,0
0,_009,_South Bamberg,_011,364,1051,4,7,2,345,1074,9,0
0,_009,_West Denmark,_012,143,670,2,1,1,132,676,4,1
0,_009,_North Bamberg,_013,653,684,10,5,1,655,684,10,0
0,_011,_Barnwell No. 1,_001,227,257,1,1,0,216,261,7,1
0,_011,_Barnwell No. 2,_002,692,407,10,0,1,667,420,23,2
0,_011,_Barnwell No. 3,_003,729,496,16,2,2,727,494,16,2
0,_011,_Barnwell No. 4,_004,384,580,10,4,0,382,588,7,0
0,_011,_Blackville No. 1,_005,210,437,0,1,1,209,436,3,0
0,_011,_Blackville No. 2,_006,132,257,7,0,2,123,271,5,1
0,_011,_Elko,_007,248,188,1,0,0,243,192,3,0
0,_011,_Friendship,_008,456,38,2,0,0,448,38,9,0
0,_011,_Kline,_009,234,168,2,3,2,230,175,5,0
0,_011,_Healing Springs,_010,163,455,5,0,0,152,463,9,0
0,_011,_Hilda,_011,578,66,5,1,0,562,78,7,1
0,_011,_Snelling,_012,476,398,2,2,0,461,402,14,0
0,_011,_Williston No. 1,_013,331,594,10,3,4,333,600,10,1
0,_011,_Williston No. 2,_014,286,131,5,1,0,280,136,8,0
0,_011,_Williston No. 3,_015,346,248,2,1,0,345,252,2,0
0,_011,_Srs,_016,0,0,0,0,0,0,0,0,0
0,_013,_New River,_000,1166,675,34,4,1,1153,706,12,0
0,_013,_Palmetto Bluff,_001,374,199,4,0,0,400,183,0,0
0,_013,_Sandy Pointe,_003,445,387,15,3,1,416,421,14,0
0,_013,_Beaufort 1,_101,205,510,6,8,1,195,529,9,1
0,_013,_Beaufort 2,_102,382,435,9,3,0,390,429,7,0
0,_013,_Beaufort 3,_103,538,477,20,4,2,547,484,14,1
0,_013,_Burton 1A,_110,766,625,19,2,1,747,647,13,1
0,_013,_Burton 1B,_111,160,650,8,5,4,142,679,7,1
0,_013,_Burton 1C,_112,570,803,13,1,1,581,803,10,0
0,_013,_Burton 2A,_113,673,500,14,5,0,649,520,24,1
0,_013,_Burton 2B,_114,702,570,30,7,0,676,603,22,2
0,_013,_Burton 2C,_115,957,555,15,4,2,948,565,21,0
0,_013,_Burton 3,_116,138,214,2,2,0,127,222,4,0
0,_013,_Chechessee 1,_120,881,535,7,1,0,931,496,6,0
0,_013,_Chechessee 2,_121,846,557,16,1,1,859,547,14,5
0,_013,_Ladys Island 1A,_130,594,533,18,1,1,586,540,16,1
0,_013,_Ladys Island 1B,_131,644,620,12,4,0,675,604,9,0
0,_013,_Ladys Island 2A,_132,786,381,20,3,1,783,388,18,3
0,_013,_Ladys Island 2B,_133,608,401,10,1,0,635,387,1,0
0,_013,_Ladys Island 3A,_134,482,321,10,0,1,488,319,7,1
0,_013,_Ladys Island 3B,_135,628,337,16,4,1,644,335,5,2
0,_013,_Mossy Oaks 1A,_140,408,247,17,0,1,396,258,15,3
0,_013,_Mossy Oaks 1B,_141,503,323,21,5,0,500,333,17,2
0,_013,_Mossy Oaks 2,_142,425,352,12,4,1,418,364,13,0
0,_013,_Port Royal 1,_150,415,407,10,2,0,406,415,9,0
0,_013,_Port Royal 2,_151,339,436,12,3,1,325,450,13,1
0,_013,_Dale Lobeco,_160,257,583,6,1,1,251,590,3,0
0,_013,_Seabrook 1,_161,322,390,5,3,0,302,404,9,0
0,_013,_Seabrook 2,_162,205,452,4,3,0,196,457,5,1
0,_013,_Seabrook 3,_163,384,524,2,1,1,372,523,15,1
0,_013,_Sheldon 1,_170,356,438,9,3,0,360,439,5,1
0,_013,_Sheldon 2,_171,68,469,4,0,0,61,477,3,0
0,_013,_Burton 1D,_179,193,193,18,1,0,184,204,15,1
0,_013,_Saint Helena 1A,_180,168,751,8,2,1,160,762,9,0
0,_013,_Saint Helena 1B,_181,255,752,6,1,2,246,770,4,0
0,_013,_Saint Helena 1C,_182,690,511,11,0,1,737,481,2,0
0,_013,_Saint Helena 2B,_183,228,687,2,1,1,226,691,4,1
0,_013,_Saint Helena 2A,_183,376,603,8,2,0,366,608,16,0
0,_013,_Saint Helena 2C,_185,543,338,1,4,0,552,329,4,0
0,_013,_Ladys Island 2C,_186,444,263,8,1,1,449,261,6,0
0,_013,_Ladys Island 3C,_187,457,279,12,3,1,449,289,15,0
0,_013,_Daufuskie,_200,215,125,3,0,0,216,122,1,0
0,_013,_Hilton Head 1A,_201,452,465,11,4,0,431,482,14,1
0,_013,_Hilton Head 1B,_202,437,496,2,0,1,441,498,4,1
0,_013,_Hilton Head 2A,_203,545,518,7,2,0,532,531,7,1
0,_013,_Hilton Head 2B,_204,360,574,11,3,1,356,581,5,2
0,_013,_Hilton Head 2C,_205,856,535,10,0,1,888,521,3,2
0,_013,_Hilton Head 3,_206,494,270,1,0,0,498,266,2,1
0,_013,_Hilton Head 4A,_207,398,312,7,4,0,423,300,4,1
0,_013,_Hilton Head 4B,_208,596,460,3,0,1,630,436,1,4
0,_013,_Hilton Head 4C,_209,478,360,6,1,1,492,356,5,0
0,_013,_Hilton Head 4D,_210,468,422,4,1,1,480,416,3,0
0,_013,_Hilton Head 5A,_211,468,377,3,5,0,490,362,7,0
0,_013,_Hilton Head 5B,_212,458,345,5,1,0,483,323,1,0
0,_013,_Hilton Head 5C,_213,448,296,10,2,2,456,301,4,1
0,_013,_Hilton Head 6,_214,671,454,6,3,1,711,430,5,0
0,_013,_Hilton Head 7A,_216,597,428,4,1,0,610,419,6,0
0,_013,_Hilton Head 7B,_217,701,457,6,3,0,704,454,8,2
0,_013,_Hilton Head 8,_219,371,303,3,1,0,380,295,2,0
0,_013,_Hilton Head 9A,_220,645,556,12,4,1,646,560,7,0
0,_013,_Hilton Head 9B,_221,774,352,5,1,2,821,318,2,0
0,_013,_Hilton Head 10,_222,742,614,17,4,1,749,622,11,0
0,_013,_Hilton Head 11,_223,541,403,4,0,0,550,394,5,1
0,_013,_Hilton Head 12,_224,313,246,3,0,0,325,239,1,0
0,_013,_Hilton Head 13,_225,424,346,12,2,1,424,349,10,0
0,_013,_Hilton Head 14,_226,477,310,8,1,0,499,301,2,0
0,_013,_Hilton Head 15A,_227,248,199,1,2,0,259,193,0,0
0,_013,_Hilton Head 15B,_228,436,317,1,1,0,469,283,3,1
0,_013,_Bluffton 1A,_301,639,599,28,5,0,635,621,10,1
0,_013,_Bluffton 1B,_302,459,273,10,5,0,456,282,7,1
0,_013,_Bluffton 1C,_303,797,465,14,3,0,785,477,14,1
0,_013,_Bluffton 1D,_304,510,556,16,4,2,499,568,19,0
0,_013,_Bluffton 2A,_305,416,369,14,4,1,390,392,18,0
0,_013,_Bluffton 2B,_306,564,435,13,2,1,525,465,21,2
0,_013,_Bluffton 2C,_307,1294,849,32,4,1,1283,856,35,1
0,_013,_Moss Creek,_308,777,539,1,2,0,790,529,4,0
0,_013,_Bluffton 3,_309,599,268,9,0,0,598,267,13,0
0,_013,_Bluffton 4A,_310,709,291,4,1,1,721,281,5,1
0,_013,_Bluffton 4B,_311,813,491,9,1,0,792,503,18,2
0,_013,_Bluffton 4C,_312,1126,659,12,3,1,1156,650,8,0
0,_013,_Bluffton 5A,_313,888,540,12,4,1,893,546,13,0
0,_013,_Bluffton 2D,_314,1057,611,24,4,0,1058,611,30,0
0,_013,_Belfair,_315,1063,588,6,4,1,1095,566,5,1
0,_013,_Bluffton 2E,_315,399,648,13,5,2,388,663,13,1
0,_013,_Rose Hill,_316,999,468,10,1,0,1001,462,12,1
0,_013,_Bluffton 4D,_317,1046,576,23,1,0,1080,567,9,1
0,_013,_Bluffton 5B,_318,539,361,5,2,0,520,371,14,0
0,_013,_Sun City 1,_360,707,545,2,2,1,730,520,4,0
0,_013,_Sun City 4,_361,657,476,12,0,2,671,474,5,0
0,_013,_Sun City 2,_362,543,416,7,3,1,563,408,3,0
0,_013,_Sun City 3,_363,808,589,9,0,2,820,583,8,0
0,_013,_Sun City 5,_364,756,518,7,0,0,770,517,4,0
0,_013,_Sun City 6,_365,668,504,3,2,4,687,494,6,1
0,_013,_Sun City 7,_366,549,418,3,1,0,554,414,5,0
0,_013,_Sun City 8,_367,618,544,4,2,2,624,538,10,0
0,_015,_Alvin,_001,285,380,7,2,0,276,391,7,2
0,_015,_Bethera,_002,172,18,0,0,0,170,15,6,0
0,_015,_Bonneau,_003,611,326,6,1,0,590,340,13,1
0,_015,_Bonneau Beach,_004,915,246,5,1,0,883,255,29,1
0,_015,_Central,_005,886,827,26,14,0,855,859,38,1
0,_015,_Cainhoy,_007,279,656,4,2,0,271,672,4,0
0,_015,_Carnes Cross Roads 1,_008,798,149,9,1,0,768,166,25,1
0,_015,_Carnes Cross Roads 2,_009,532,271,14,2,0,525,277,14,0
0,_015,_Cordesville,_010,569,330,5,1,1,541,344,21,0
0,_015,_Cross,_011,443,349,9,2,0,430,363,10,0
0,_015,_Daniel Island 1,_012,1190,649,15,5,1,1275,591,7,1
0,_015,_Daniel Island 2,_013,724,706,16,4,1,767,680,7,3
0,_015,_Devon Forest 1,_014,783,671,24,7,1,754,690,37,1
0,_015,_Devon Forest 2,_015,638,501,29,0,0,609,525,29,4
0,_015,_Eadytown,_016,143,326,1,1,0,136,331,6,0
0,_015,_Hanahan 1,_020,1208,519,25,2,1,1194,530,33,0
0,_015,_Hanahan 2,_021,543,382,19,2,0,535,390,22,0
0,_015,_Hanahan 3,_022,659,311,13,8,2,658,314,21,0
0,_015,_Hanahan 4,_023,448,402,19,11,3,425,427,26,1
0,_015,_Hilton Cross Rd,_024,474,664,8,1,0,463,674,6,1
0,_015,_Huger,_026,361,583,10,2,0,347,603,10,0
0,_015,_Jamestown,_027,164,225,5,1,1,160,232,5,1
0,_015,_Lebanon,_028,475,135,11,0,0,466,145,11,1
0,_015,_Macedonia,_029,975,130,15,1,0,949,145,23,2
0,_015,_Mcbeth,_030,467,261,1,1,2,455,264,14,0
