IS_AUDITED,COUNTY_NAME,PRECINCT_NAME,PRECINCT_CODE,USA_KS_20201103_GEN_PRE_DEM_BIDEN,USA_KS_20201103_GEN_PRE_REP_TRUMP,USA_KS_20201103_GEN_PRE_LIB_JORGENSEN,USA_KS_20201103_GEN_USS_DEM_BOLLIER,USA_KS_20201103_GEN_USS_REP_MARSHALL,USA_KS_20201103_GEN_USS_LIB_BUCKLEY
0,_109,_Lees Township Voting District,_Lees Township Voting District,3,10,0,3,9,1
0,_109,_Logansport Township Voting District,_Logansport Township Voting District,0,3,0,0,3,0
0,_109,_McAllaster Township Voting District,_McAllaster Township Voting District,0,23,0,0,23,0
0,_109,_Monument Township Voting District,_Monument Township Voting District,6,62,3,7,63,0
0,_109,_Oakley Precinct 1,_Oakley Precinct 1,86,565,15,104,526,32
0,_109,_Oakley Precinct 2,_Oakley Precinct 2,73,351,5,83,323,21
0,_109,_Paxton Township Voting District,_Paxton Township Voting District,0,20,0,0,17,2
0,_109,_Russell Springs Township Voting District,_Russell Springs Township Voting District,4,27,0,4,24,4
0,_109,_Western Township Voting District,_Western Township Voting District,0,21,0,0,21,0
0,_109,_Winona Township Voting District,_Winona Township Voting District,14,144,0,17,132,7
0,_111,_Precinct 01,_Precinct 01,337,181,15,348,162,28
0,_111,_Precinct 02,_Precinct 02,251,128,11,248,126,17
0,_111,_Precinct 03,_Precinct 03,272,225,15,261,212,38
0,_111,_Precinct 04,_Precinct 04,313,255,25,299,231,54
0,_111,_Precinct 04 Part A,_Precinct 04 Part A,2,1,0,1,1,1
0,_111,_Precinct 04 Part B,_Precinct 04 Part B,2,4,0,1,5,0
0,_111,_Precinct 04 Part C,_Precinct 04 Part C,3,2,0,3,2,0
0,_111,_Precinct 04 Part D,_Precinct 04 Part D,0,0,0,0,0,0
0,_111,_Precinct 05,_Precinct 05,233,166,18,233,148,34
0,_111,_Precinct 05 Part A,_Precinct 05 Part A,0,0,0,0,0,0
0,_111,_Precinct 05 Part B,_Precinct 05 Part B,0,0,0,0,0,0
0,_111,_Precinct 06 Part A,_Precinct 06 Part A,278,140,19,274,131,26
0,_111,_Precinct 06 Part A Exclave,_Precinct 06 Part A Exclave,0,0,0,0,0,0
